state,type,title,url,description,subject,is_valid_url,is_state,is_valid
Arizona,LRSS,Proposition 314,"https://ballotpedia.org/Arizona_Proposition_314,_Immigration_and_Border_Law_Enforcement_Measure_(2024)","Allow for state and local police to arrest noncitizens who cross the border unlawfully, allow for state judges to order deportations, require the use of the e-verify program for some public governmental programs and employment eligibility purposes, and make the sale of fentanyl a Class 2 felony if a person knowingly sells fentanyl resulting in the death of another person",,1,1,1
Arizona,LRSS,Proposition 315,"https://ballotpedia.org/Arizona_Proposition_315,_Legislative_Ratification_of_State_Agency_Rules_that_Increase_Regulatory_Costs_Measure_(2024)","Prohibit a proposed rule from becoming effective if that rule is estimated to increase regulatory costs by more than $500,000 within five years after implementation, until the legislature enacts legislation ratifying the proposed rule",,1,1,1
Arkansas,CICA,Countywide Voter Approval for New Casino Licenses and Repeal Casino Licenses in Pope County Initiative,https://ballotpedia.org/Arkansas_Countywide_Voter_Approval_for_New_Casino_Licenses_and_Repeal_Casino_Licenses_in_Pope_County_Initiative_(2024),Repeal the authorization for a casino license in Pope County and require countywide voter approval for any new casino licenses,,1,1,1
Arkansas,LRCA,Lottery Proceed Funding for Vocational-Technical School Scholarships and Grants Amendment,https://ballotpedia.org/Arkansas_Lottery_Proceed_Funding_for_Vocational-Technical_School_Scholarships_and_Grants_Amendment_(2024),Allow proceeds from the state lottery to fund scholarships and grants for vocational-technical schools and technical institutes,,1,1,1
California,LRSS,Proposition 1,"https://ballotpedia.org/California_Proposition_1,_Behavioral_Health_Services_Program_and_Bond_Measure_(March_2024)",Change the Mental Health Services Act to Behavioral Health Services Act and issue bonds for veteran housing and housing for homeless persons,,1,1,1
California,BI,Proposition 2,"https://ballotpedia.org/California_Proposition_2,_Public_Education_Facilities_Bond_Measure_(2024)",Issue $10 billion in bonds to fund construction and modernization of public education facilities,,1,1,1
California,CISS,Proposition 32,"https://ballotpedia.org/California_Proposition_32,_$18_Minimum_Wage_Initiative_(2024)",Increase minimum wage to $18 an hour,,1,1,1
California,CISS,Proposition 33,"https://ballotpedia.org/California_Proposition_33,_Prohibit_State_Limitations_on_Local_Rent_Control_Initiative_(2024)",Repeals Costa Hawkins Rental Housing Act,,1,1,1
California,CISS,Proposition 34,"https://ballotpedia.org/California_Proposition_34,_Require_Certain_Participants_in_Medi-Cal_Rx_Program_to_Spend_98%25_of_Revenues_on_Patient_Care_Initiative_(2024)",Requires health care providers to spend 98% of revenues from federal discount prescription drug program on direct patient care,,1,1,1
California,CISS,Proposition 35,"https://ballotpedia.org/California_Proposition_35,_Managed_Care_Organization_Tax_Authorization_Initiative_(2024)",Permanently authorizes a tax on managed care organizations to fund Medi-Cal programs,,1,1,1
California,CISS,Proposition 36,"https://ballotpedia.org/California_Proposition_36,_Drug_and_Theft_Crime_Penalties_and_Treatment-Mandated_Felonies_Initiative_(2024)","Increase drug crime and theft penalties and allow a new class of crime to be called treatment-mandated felony, which gives the offender the option to participate in drug and mental health treatment",,1,1,1
California,LRCA,Proposition 3,"https://ballotpedia.org/California_Proposition_3,_Right_to_Marry_and_Repeal_Proposition_8_Amendment_(2024)",Repeal Proposition 8 and establish a right to marry,,1,1,1
California,BI,Proposition 4,"https://ballotpedia.org/California_Proposition_4,_Parks,_Environment,_Energy,_and_Water_Bond_Measure_(2024)","Issue $10 billion in bonds to fund state and local parks, environmental protection projects, water infrastructure projects, energy projects, and flood protection projects",,1,1,1
